_id,author,content,tags,authorSlug,length,dateAdded,dateModified
sT905eIjh2n,The Buddha,"Ceasing to do evil, Cultivating the good, Purifying the heart: This is the teaching of the Buddhas.","['Wisdom', 'Virtue']",the-buddha,99,2023-03-30,2023-04-14
RrdntXFj8cLK,Samuel Johnson,Memory is the mother of all wisdom.,"['Famous Quotes', 'Wisdom']",samuel-johnson,35,2019-02-17,2023-04-14
GaR6_XoJwohj,Heraclitus,There is nothing permanent except change.,"['Change', 'Wisdom']",heraclitus,41,2019-08-03,2023-04-14
kvTitxhuKqUw,Christopher Morley,There is only one success - to be able to spend your life in your own way.,"['Success', 'Life']",christopher-morley,74,2020-01-27,2023-04-14
tLoJe82KV,Winston Churchill,"Now this is not the end. It is not even the beginning of the end. But it is, perhaps, the end of the beginning.",[],winston-churchill,111,2022-03-12,2022-03-12
2i4ILvPHXsgJ,Michael Jordan,"If you accept the expectations of others, especially negative ones, then you never will change the outcome.","['Change', 'Wisdom']",michael-jordan,107,2019-08-16,2023-04-14
uAX2YB-kJPBK,William Ellery Channing,Error is discipline through which we advance.,['Famous Quotes'],william-ellery-channing,45,2020-03-07,2023-04-14
hL_xIxYiYkcH,Pema Chödrön,It isn't what happens to us that causes us to suffer; it's what we say to ourselves about what happens.,['Famous Quotes'],pema-chodron,103,2019-09-23,2023-04-14
WndePPLcTJ,Aristotle,"The virtue of justice consists in moderation, as regulated by wisdom.",['Wisdom'],aristotle,69,2019-09-19,2023-04-14
U3JBbXpUnIoF,The Buddha,"Drop by drop is the water pot filled. Likewise, the wise man, gathering it little by little, fills himself with good.",['Wisdom'],the-buddha,117,2021-05-05,2023-04-14
n7QR1DkeA4V,The Buddha,"All tremble at violence; all fear death. Putting oneself in the place of another, one should not kill nor cause another to kill.","['Wisdom', 'Virtue', 'Honor']",the-buddha,128,2023-03-30,2023-04-14
Wdk5qxJq5f,Napoleon,Never interrupt your enemy when he is making a mistake.,['Wisdom'],napoleon,55,2021-04-15,2023-04-14
XlBqWMF7hx5z,Wayne Dyer,"When you judge another, you do not define them, you define yourself.",['Famous Quotes'],wayne-dyer,68,2020-02-07,2023-04-14
xH7XN__m5y,Iris Murdoch,We can only learn to love by loving.,['Famous Quotes'],iris-murdoch,36,2020-01-26,2023-04-14
DRrFFyFqWhQD,Richard Bach,"If you love someone, set them free. If they come back, they're yours; if they don't, they never were.",['Love'],richard-bach,101,2019-01-08,2023-04-14
XnUCnSB3UYV,Eleanor Roosevelt,Do one thing every day that scares you.,['Famous Quotes'],eleanor-roosevelt,39,2020-07-10,2023-04-14
