Date_Innsbruck,Temp,Max_Temp,Min_Temp,Humidity,Windspeed,Cloudcover,Sunrise,Sunset,Conditions,Pressure,Winddir
2023-06-15,17.0,24.1,10.1,50.2,24.1,51.7,05:17:44,21:12:17,Partially cloudy,1016.0,48.9
2023-06-16,15.1,19.2,11.5,67.7,15.9,75.4,05:17:42,21:12:43,Partially cloudy,1018.2,32.4
2023-06-17,16.6,25.1,10.2,61.4,13.1,51.7,05:17:43,21:13:07,Partially cloudy,1017.1,29.8
2023-06-18,19.4,30.1,9.5,50.8,17.6,24.2,05:17:46,21:13:28,Partially cloudy,1015.3,1.9
2023-06-19,22.1,29.2,16.9,56.3,23.9,61.7,05:17:51,21:13:47,Partially cloudy,1014.5,37.5
2023-06-20,23.4,30.5,15.5,60.6,28.3,43.3,05:18:00,21:14:03,Partially cloudy,1014.7,155.4
2023-06-21,22.7,29.8,17.5,67.5,23.8,51.1,05:18:10,21:14:17,"Rain, Partially cloudy",1017.4,349.9
2023-06-22,24.5,33.2,17.3,61.1,23.1,54.2,05:18:23,21:14:29,Partially cloudy,1015.7,241.1
2023-06-23,18.9,24.7,15.0,73.3,21.1,82.5,05:18:39,21:14:37,"Rain, Partially cloudy",1020.5,71.6
2023-06-24,16.9,21.6,13.0,69.0,16.8,75.8,05:18:57,21:14:44,"Rain, Partially cloudy",1025.2,57.0
2023-06-25,19.2,28.1,10.6,56.2,18.5,15.0,05:19:17,21:14:48,Clear,1019.2,78.4
2023-06-26,21.4,29.3,12.7,54.1,19.5,27.1,05:19:39,21:14:49,"Rain, Partially cloudy",1016.9,34.4
2023-06-27,19.4,21.5,15.9,60.0,22.3,74.2,05:20:04,21:14:47,"Rain, Partially cloudy",1017.6,73.2
2023-06-28,15.1,18.7,12.8,73.2,16.5,74.2,05:20:31,21:14:44,"Rain, Partially cloudy",1019.3,55.7
2023-06-29,18.7,28.7,8.9,61.2,21.7,27.1,05:21:01,21:14:37,Partially cloudy,1015.9,52.1
