Ranking_Men,Ranking_Change_Men,Players_Name_Men,Age_Men,Points_Men,Tournaments_Men,Ranking_Women,Ranking_Change_Women,Players_Name_Women,Age_Women,Points_Women,Tournaments_Women
1,0, Novak Djokovic,36,11055,19,1,0, Iga Swiatek,22,9880,19
2,0, Carlos Alcaraz,20,8855,18,2,0, Aryna Sabalenka,25,8905,16
3,0, Daniil Medvedev,27,7555,21,3,1, Elena Rybakina,24,6811,18
4,0, Jannik Sinner,22,6490,22,4,-1, Coco Gauff,19,6660,19
5,0, Andrey Rublev,26,5010,25,5,0, Jessica Pegula,29,5905,20
6,1, Alexander Zverev,26,4275,27,6,0, Ons Jabeur,29,4076,20
7,-1, Stefanos Tsitsipas,25,4025,24,7,0, Marketa Vondrousova,24,3966,16
8,0, Holger Rune,20,3815,23,8,0, Maria Sakkari,28,3770,24
9,0, Hubert Hurkacz,26,3320,24,9,0, Karolina Muchova,27,3590,14
10,2, Alex de Minaur,24,2950,25,10,0, Barbora Krejcikova,28,2945,21
11,0, Casper Ruud,25,2910,24,11,0, Beatriz Haddad Maia,27,2920,23
12,-2, Taylor Fritz,26,2840,26,12,0, Jelena Ostapenko,26,2883,23
13,1, Grigor Dimitrov,32,2775,23,13,1, Qinwen Zheng,21,2790,23
14,-1, Tommy Paul,26,2665,26,14,1, Liudmila Samsonova,25,2760,24
15,0, Karen Khachanov,27,2475,22,15,3, Daria Kasatkina,26,2758,25
16,1, Ben Shelton,21,2145,27,16,0, Veronika Kudermetova,26,2680,25
17,-1, Frances Tiafoe,25,2100,22,17,0, Petra Kvitova,33,2635,16
18,1, Nicolas Jarry,28,1830,22,18,-5, Madison Keys,28,2608,17
19,-1, Cameron Norrie,28,1810,25,19,0, Belinda Bencic,26,2547,16
20,2, Adrian Mannarino,35,1765,31,20,0, Caroline Garcia,30,2330,27
21,-1, Ugo Humbert,25,1765,29,21,0, Ekaterina Alexandrova,29,2075,24
22,-1, Francisco Cerundolo,25,1760,26,22,1, Victoria Azarenka,34,2011,21
23,3, Alejandro Davidovich Fokina,24,1530,26,23,2, Elina Svitolina,29,1972,14
24,1, JanLennard Struff,33,1511,27,24,-2, Magda Linette,31,1896,24
